,D_c,D_z
0,0.9314,1.4394
1,1.8594,2.3404
2,2.763,3.2524
3,3.6774,4.2064
4,4.6234,5.146
5,5.563,6.1014
6,6.5154,7.072
7,7.4814,7.979
8,8.399,8.909
9,9.3334,9.8694
10,10.287,10.7914
11,11.2114,11.7474
12,12.168,12.6974
13,13.1214,13.6154
14,14.0334,14.562
15,14.982,15.494
16,15.9164,16.417
17,16.824,17.3454
18,17.7784,18.304
19,18.727,19.247
20,19.649,20.1894
21,20.613,21.1244
22,21.544,22.045
23,22.4674,22.997
24,23.422,23.913
25,24.3034,24.8344
26,25.273,25.805
27,26.2264,26.701
28,27.139,27.6534
29,28.0404,28.566
30,28.984,29.476
31,29.898,30.3924
32,30.8164,31.2769
33,31.7304,32.1614
34,32.6444,33.05
35,33.4907,33.926
36,34.337,34.787
37,35.208,35.6864
38,36.103,36.5604
39,36.9774,37.46
40,37.8804,38.3974
41,38.816,39.2954
42,39.7,40.1984
43,40.6074,41.1154
44,41.532,41.98
45,42.397,42.8514
46,43.271,43.7564
47,44.1784,44.6464
48,45.065,45.5484
49,45.9664,46.4654
50,46.8854,47.342
51,47.758,48.2254
52,48.6504,49.1444
53,49.5664,50.078
54,50.4994,50.9934
55,51.411,51.943
56,52.3654,52.901
57,53.3224,53.833
58,54.2514,54.7834
59,55.2074,55.702
60,56.122,56.617
61,57.036,57.5494
62,57.966,58.4394
63,58.856,59.3604
64,59.7794,60.3134
65,60.7324,61.229
66,61.649,62.171
67,62.589,63.159
68,63.564,64.084
69,64.4894,65.016
70,65.436,65.982
71,66.402,66.9174
72,67.3364,67.8624
73,68.286,68.8554
74,69.254,69.762
75,70.181,70.712
76,71.134,71.6754
77,72.0914,72.597
78,73.018,73.559
79,73.9794,74.5094
80,74.928,75.4184
81,75.8434,76.357
82,76.7794,77.284
83,77.704,78.1744
84,78.5934,79.096
85,79.515,80.0144
86,80.4324,80.907
87,81.3224,81.806
88,82.2224,82.6344
89,83.041,83.4254
90,83.83,84.244
91,84.6654,85.139
92,85.552,86.0184
93,86.4364,86.927
94,87.3474,87.8594
95,88.272,88.755
96,89.1704,89.6734
97,90.088,90.584
98,91.008,91.467
99,91.8864,92.3784
100,92.7884,93.2754
101,93.694,94.1454
102,94.564,95.0394
103,95.4554,95.943
104,96.362,96.8224
105,97.234,97.74
106,98.144,98.6864
107,99.1004,99.605
108,100.0134,100.5264
109,100.949,101.475
110,101.8924,102.3934
111,102.8094,103.34
112,103.7634,104.2584
113,104.6804,105.181
114,105.5994,106.1204
115,106.536,107.0284
116,107.447,107.9434
117,108.37,108.885
118,109.302,109.794
119,110.2134,110.73
120,111.1544,111.673
121,112.093,112.577
122,112.997,113.502
123,113.928,114.4294
124,114.845,115.306
125,115.72,116.2084
126,116.6274,117.1094
127,117.5304,117.973
128,118.3924,118.8704
129,119.285,119.7824
130,120.196,120.6774
131,121.0934,121.614
132,122.0374,122.5604
133,122.9764,123.455
134,123.869,124.3744
135,124.7864,125.3004
136,125.7154,126.1844
137,126.5944,127.074
138,127.4914,127.979
139,128.3964,128.8624
140,129.2734,129.759
141,130.1704,130.6414
142,131.0574,131.4994
143,131.9174,132.393
144,132.813,133.302
145,133.715,134.1774
146,134.592,135.079
147,135.494,135.997
148,136.4144,136.885
149,137.301,137.7824
150,138.203,138.659
151,139.074,139.489
152,139.9074,140.343
153,140.768,141.247
154,141.6664,142.1284
155,142.549,142.9604
156,143.38,143.786
157,144.202,144.572
158,144.9904,145.3624
159,145.7784,146.175
160,146.593,147.0234
161,147.437,147.9174
162,148.3344,148.829
163,149.2494,149.672
164,150.1184,150.5914
165,151.0114,151.4744
166,151.888,152.31
167,152.7224,153.1394
168,153.561,153.9844
169,154.4034,154.7904
170,155.1984,155.5904
171,155.996,156.407
172,156.822,157.2404
173,157.6474,158.069
174,158.48,158.976
175,159.3934,159.897
176,160.3134,160.782
177,161.2024,161.7164
178,162.132,162.639
179,163.056,163.5274
180,163.941,164.43
181,164.8494,165.343
182,165.759,166.214
183,166.6284,167.1024
184,167.5214,168.0144
185,168.4304,168.88
186,169.2964,169.773
187,170.189,170.682
188,171.09,171.5424
189,171.962,172.464
190,172.8684,173.386
191,173.8084,174.286
192,174.6924,175.1824
193,175.5904,176.091
194,176.5104,176.9834
195,177.3974,177.906
196,178.32,178.832
197,179.2524,179.73
198,180.1454,180.641
199,181.0614,181.593
200,182.008,182.5014
201,182.921,183.4364
202,183.857,184.395
203,184.8114,185.31
204,185.723,186.24
205,186.6534,187.1784
206,187.5954,188.0904
207,188.5104,189.045
208,189.462,190.0174
209,190.437,190.954
210,191.375,191.9304
211,192.3414,192.902
212,193.3184,193.847
213,194.258,194.82
214,195.229,195.748
215,196.176,196.6264
216,197.0774,197.574
217,197.9914,198.511
218,198.9294,199.4114
219,199.8274,200.324
220,200.746,201.278
221,201.702,202.2304
222,202.643,203.1734
223,203.5864,204.13
224,204.5374,205.0284
225,205.446,205.927
226,206.357,206.866
227,207.2784,207.761
228,208.18,208.6434
229,209.0614,209.5704
230,209.988,210.4884
231,210.9084,211.391
232,211.8044,212.308
233,212.728,213.222
234,213.6324,214.0984
235,214.511,214.9714
236,215.3904,215.8804
237,216.289,216.753
238,217.1674,217.6704
239,218.087,218.6224
240,219.0424,219.5524
241,219.9694,220.4874
242,220.908,221.438
243,221.858,222.341
244,222.7574,223.2404
245,223.6654,224.175
246,224.5874,225.0544
247,225.4694,225.949
248,226.3644,226.858
249,227.2744,227.774
250,228.175,228.6734
251,229.085,229.647
252,230.0624,230.592
253,231.0084,231.5164
254,231.936,232.4954
255,232.912,233.4564
256,233.877,234.382
257,234.7964,235.32
258,235.7414,236.26
259,236.6784,237.163
260,237.5824,238.0954
261,238.5174,239.047
262,239.467,239.969
263,240.3854,240.918
264,241.3404,241.872
265,242.292,242.7984
266,243.2164,243.74
267,244.1604,244.681
268,245.106,245.5814
269,245.998,246.4544
270,246.901,247.4004
271,247.823,248.323
272,248.7434,249.239
273,249.6584,250.1724
274,250.586,251.076
275,251.484,251.97
276,252.388,252.9024
277,253.3154,253.791
278,254.211,254.699
279,255.1214,255.6124
280,256.039,256.4954
281,256.911,257.397
282,257.807,258.3004
283,258.7204,259.209
284,259.6274,260.094
285,260.515,261.0114
286,261.432,261.916
287,262.33,262.78
288,263.2034,263.698
289,264.1164,264.6374
290,265.0474,265.5214
291,265.9434,266.413
292,266.831,267.3334
293,267.75,268.237
294,268.6534,269.1034
295,269.5214,270.0164
296,270.4424,270.9484
297,271.3714,
